sido,sigungu,crime,violence
서울특별시,중구,198,1378
서울특별시,용산구,282,1941
서울특별시,성동구,128,1033
서울특별시,광진구,252,1303
서울특별시,동대문구,144,1462
서울특별시,중랑구,159,1579
서울특별시,성북구,154,1149
서울특별시,강북구,151,1169
서울특별시,도봉구,86,858
서울특별시,노원구,162,1434
서울특별시,은평구,151,1559
서울특별시,서대문구,136,900
서울특별시,마포구,518,1912
서울특별시,양천구,119,1364
서울특별시,강서구,288,2049
서울특별시,구로구,199,1616
서울특별시,금천구,141,992
서울특별시,영등포구,300,2070
서울특별시,동작구,190,1187
서울특별시,관악구,353,2167
서울특별시,서초구,384,1812
서울특별시,강남구,677,3335
서울특별시,송파구,334,2346
서울특별시,강동구,178,1519
부산광역시,중구,50,645
부산광역시,서구,35,470
부산광역시,동구,71,728
부산광역시,영도구,26,487
부산광역시,부산진구,335,2848
부산광역시,동래구,99,1101
부산광역시,남구,110,1039
부산광역시,북구,89,891
부산광역시,강서구,53,625
부산광역시,해운대구,157,1394
부산광역시,사하구,95,1216
부산광역시,금정구,81,854
부산광역시,연제구,101,1076
부산광역시,수영구,101,1015
부산광역시,사상구,90,1072
부산광역시,기장군,67,658
대구광역시,중구,189,994
대구광역시,동구,147,1652
대구광역시,서구,80,974
대구광역시,남구,80,767
대구광역시,북구,108,1571
대구광역시,수성구,133,1417
대구광역시,달서구,210,2177
대구광역시,달성군,75,783
대구광역시,군위군,3,79
인천광역시,중구,128,936
인천광역시,동구,17,204
인천광역시,미추홀구,295,2392
인천광역시,연수구,132,1363
인천광역시,남동구,240,2212
인천광역시,부평구,325,2701
인천광역시,계양구,106,1154
인천광역시,서구,261,2121
인천광역시,강화군,22,312
인천광역시,옹진군,10,65
광주광역시,동구,57,672
광주광역시,서구,204,1635
광주광역시,남구,65,695
광주광역시,북구,155,1432
광주광역시,광산구,168,1811
대전광역시,동구,114,1251
대전광역시,중구,143,1541
대전광역시,서구,246,2519
대전광역시,유성구,141,1222
대전광역시,대덕구,76,810
울산광역시,중구,66,688
울산광역시,남구,181,1652
울산광역시,동구,62,721
울산광역시,북구,50,707
울산광역시,울주군,71,749
경기도,고양시,306,3767
경기도,과천시,18,179
경기도,광명시,66,1094
경기도,광주시,114,1670
경기도,구리시,81,709
경기도,군포시,76,771
경기도,김포시,151,2057
경기도,남양주시,208,2258
경기도,동두천시,66,558
경기도,부천시,368,3866
경기도,성남시,356,3852
경기도,수원시,551,5230
경기도,시흥시,225,2598
경기도,안산시,363,3737
경기도,안성시,67,836
경기도,안양시,223,1808
경기도,양주시,97,1075
경기도,여주시,49,436
경기도,오산시,104,1257
경기도,용인시,284,3245
경기도,의왕시,43,363
경기도,의정부시,201,2129
경기도,이천시,91,960
경기도,파주시,196,2058
경기도,평택시,307,3418
